area_id;type;id;full_name
250000;s;250502;Техническая эксплуатация и восстановление электросистем и пилотажно-навигационных комплексов боевых летательных аппаратов
250000;s;250503;Техническая эксплуатация транспортного радиооборудования
250000;s;250504;Летная эксплуатация и применение авиационных комплексов
250000;ap;250601;Аэронавигация и эксплуатация авиационной и ракетно-космической техники
260000;b;260301;Управление водным транспортом и гидрографическое обеспечение судоходства
260000;m;260301;Управление водным транспортом и гидрографическое обеспечение судоходства
260000;b;260302;Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры
260000;m;260302;Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры
260000;s;260501;Проектирование и постройка кораблей, судов и объектов океанотехники
260000;s;260502;Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов
260000;s;260503;Строительство, ремонт и поисково-спасательное обеспечение надводных кораблей и подводных лодок
260000;s;260504;Применение и эксплуатация технических систем надводных кораблей и подводных лодок
260000;ap;260601;Техника и технологии кораблестроения и водного транспорта
270000;b;270301;Стандартизация и метрология
270000;m;270301;Стандартизация и метрология
270000;b;270302;Управление качеством
270000;m;270302;Управление качеством
270000;b;270303;Системный анализ и управление
270000;m;270303;Системный анализ и управление
270000;b;270304;Управление в технических системах
270000;m;270304;Управление в технических системах
270000;b;270305;Инноватика
270000;m;270305;Инноватика
270000;s;270501;Специальные организационно-технические системы
270000;ap;270601;Управление в технических системах
280000;b;280301;Нанотехнологии и микросистемная техника
280000;m;280301;Нанотехнологии и микросистемная техника
280000;b;280302;Наноинженерия
280000;m;280302;Наноинженерия
280000;b;280303;Наноматериалы
280000;m;280303;Наноматериалы
280000;ap;280601;Нанотехнологии и наноматериалы
290000;b;290301;Технология изделий легкой промышленности
290000;m;290301;Технология изделий легкой промышленности
290000;b;290302;Технологии и проектирование текстильных изделий
290000;m;290302;Технологии и проектирование текстильных изделий
290000;b;290303;Технология полиграфического и упаковочного производства
290000;m;290303;Технология полиграфического и упаковочного производства
290000;b;290304;Технология художественной обработки материалов
290000;m;290304;Технология художественной обработки материалов
290000;ap;290601;Технологии легкой промышленности
300000;s;300501;Медицинская биохимия
300000;s;300502;Медицинская биофизика
300000;s;300503;Медицинская кибернетика
300000;ap;300601;Фундаментальная медицина
310000;s;310501;Лечебное дело
310000;s;310502;Педиатрия
310000;s;310503;Стоматология
310000;ap;310601;Клиническая медицина
320000;m;320401;Общественное здравоохранение
320000;s;320501;Медико-профилактическое дело
320000;ap;320601;Медико-профилактическое дело
330000;m;330401;Промышленная фармация
330000;s;330501;Фармация
330000;ap;330601;Фармация
340000;b;340301;Сестринское дело
340000;m;340301;Сестринское дело
350000;b;350301;Лесное дело
350000;m;350301;Лесное дело
350000;b;350302;Технология лесозаготовительных и деревоперерабатывающих производств
350000;m;350302;Технология лесозаготовительных и деревоперерабатывающих производств
350000;b;350303;Агрохимия и агропочвоведение
350000;m;350303;Агрохимия и агропочвоведение
350000;b;350304;Агрономия
350000;m;350304;Агрономия
350000;b;350305;Садоводство
350000;m;350305;Садоводство
350000;b;350306;Агроинженерия
350000;m;350306;Агроинженерия
350000;b;350307;Технология производства и переработки сельскохозяйственных продукции
350000;m;350307;Технология производства и переработки сельскохозяйственных продукции
350000;b;350308;Водные биоресурсы и аквакультуры
350000;m;350308;Водные биоресурсы и аквакультуры
350000;b;350309;Промышленное рыболовство
350000;m;350309;Промышленное рыболовство
350000;b;350310;Ландшафтная архитектура
350000;m;350310;Ландшафтная архитектура
350000;b;350311;Гидромелиорация
350000;m;350311;Гидромелиорация
350000;ap;350601;Сельское хозяйство
350000;ap;350602;Лесное хозяйство
350000;ap;350603;Рыбное хозяйство 
350000;ap;350604;Технологии, средства механизации и энергетическое оборудование в сельском, лесном и рыбном хозяйстве
360000;b;360301;Ветеринарно-санитарная экспертиза
360000;m;360301;Ветеринарно-санитарная экспертиза
360000;b;360302;Зоотехния
360000;m;360302;Зоотехния
360000;s;360501;Ветеринария
360000;ap;360601;Ветеринария и зоотехния
370000;b;370301;Психология
370000;m;370301;Психология
370000;b;370302;Конфликтология
370000;m;370302;Конфликтология
370000;s;370501;Клиническая психология
370000;s;370502;Психология служебной деятельности
370000;ap;370601;Психологические науки 
380000;b;380301;Экономика
380000;m;380301;Экономика
380000;b;380302;Менеджмент
380000;m;380302;Менеджмент
380000;b;380303;Управление персоналом
380000;m;380303;Управление персоналом
380000;b;380304;Государственное и муниципальное управление
380000;m;380304;Государственное и муниципальное управление
380000;b;380305;Бизнес-информатика
380000;m;380305;Бизнес-информатика
380000;b;380306;Торговое дело
380000;m;380306;Торговое дело
380000;b;380307;Товароведение
380000;m;380307;Товароведение
380000;b;380310;Жилищное хозяйство и коммунальная инфраструктура
380000;m;380310;Жилищное хозяйство и коммунальная инфраструктура
380000;s;380501;Экономическая безопасность
380000;s;380502;Таможенное дело
380000;ap;380601;Экономика
390000;b;390301;Социология
390000;m;390301;Социология
390000;b;390302;Социальная работа
390000;m;390302;Социальная работа
390000;b;390303;Организация работы с молодежью
390000;m;390303;Организация работы с молодежью
390000;ap;390601;Социологические науки
400000;b;400301;Юриспруденция
400000;m;400301;Юриспруденция
400000;s;400501;Правовое обеспечение национальной безопасности
400000;s;400502;Правоохранительная деятельность
400000;s;400503;Судебная экспертиза
400000;s;400504;Судебная и прокурорская деятельность
400000;ap;400601;Юриспруденция
410000;b;410301;Зарубежное регионоведение
410000;m;410301;Зарубежное регионоведение
410000;b;410302;Регионоведение Россиии
410000;m;410302;Регионоведение Россиии
410000;b;410304;Политология
410000;m;410304;Политология
410000;b;410305;Международные отношения
410000;m;410305;Международные отношения
410000;b;410306;Публичная политика и социальные науки
410000;m;410306;Публичная политика и социальные науки
410000;ap;410601;"З	Политические науки и регионоведение "
420000;b;420301;Реклама и связи с общественностью
420000;m;420301;Реклама и связи с общественностью
420000;b;420302;Журналистика
420000;m;420302;Журналистика
420000;b;420303;Издательское дело
420000;m;420303;Издательское дело
420000;b;420304;Телевидение
420000;m;420304;Телевидение
420000;b;420305;Медиакоммуникации
420000;m;420305;Медиакоммуникации
420000;ap;420601;Средства массовой информации и информационно-библиотечное дело 
430000;b;430301;Сервис
430000;m;430301;Сервис
430000;b;430302;Туризм
430000;m;430302;Туризм
430000;b;430303;Гостиничное дело
430000;m;430303;Гостиничное дело
440000;b;440301;Педагогическое образование
440000;m;440301;Педагогическое образование
440000;b;440302;Психолого-педагогическое образование
440000;m;440302;Психолого-педагогическое образование
440000;b;440303;Специальное (дефектологическое) образование
440000;m;440303;Специальное (дефектологическое) образование
440000;b;440304;Профессиональное обучение (по отраслям)
440000;m;440304;Профессиональное обучение (по отраслям)
440000;b;440305;Педагогическое образование (с двумя профилями подготовки)
440000;m;440305;Педагогическое образование (с двумя профилями подготовки)
440000;s;440501;Педагогика и психология девиантного поведения
440000;ap;440601;Образование и педагогические науки 
450000;b;450301;Филология
450000;m;450301;Филология
450000;b;450302;Лингвистика
450000;m;450302;Лингвистика
450000;b;450303;Фундаментальная и прикладная лингвистика
450000;m;450303;Фундаментальная и прикладная лингвистика
450000;b;450304;Интеллектуальные системы в гуманитарной сфере
450000;m;450304;Интеллектуальные системы в гуманитарной сфере
450000;s;450501;Перевод и переводоведение
450000;ap;450601;Языкознание и литературоведение 
460000;b;460301;История
460000;m;460301;История
460000;b;460302;Документоведение и архивоведение
460000;m;460302;Документоведение и архивоведение
460000;b;460303;Антропология и этнология
460000;m;460303;Антропология и этнология
460000;ap;460601;Исторические науки и археология 
470000;b;470301;Философия
470000;m;470301;Философия
470000;b;470302;Прикладная этика
470000;m;470302;Прикладная этика
470000;b;470303;Религиоведение
470000;m;470303;Религиоведение
470000;ap;470601;Философия, этика и религиоведение 
480000;b;480301;Теология
480000;m;480301;Теология
480000;ap;480601;Теология
490000;b;490301;Физическая культура
490000;m;490301;Физическая культура
490000;b;490302;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
490000;m;490302;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
490000;b;490303;Рекреация и спортивно-оздоровительный туризм
490000;m;490303;Рекреация и спортивно-оздоровительный туризм
490000;ap;490601;Физическая культура и спорт 
500000;b;500301;Искусства и гуманитарные науки
500000;m;500301;Искусства и гуманитарные науки
500000;b;500302;Изящные искусства
500000;m;500302;Изящные искусства
500000;b;500303;История искусств
500000;m;500303;История искусств
500000;b;500304;Теория и история искусств
500000;m;500304;Теория и история искусств
500000;ap;500601;Искусствоведение
510000;b;510301;Культурология
510000;m;510301;Культурология
510000;b;510302;Народная художественная культура
510000;m;510302;Народная художественная культура
510000;b;510303;Социально-культурная деятельность
510000;m;510303;Социально-культурная деятельность
510000;b;510304;Музеология и охрана объектов культурного и природного наследия
510000;m;510304;Музеология и охрана объектов культурного и природного наследия
510000;b;510305;Режиссура театрализованных представлений и праздников
510000;m;510305;Режиссура театрализованных представлений и праздников
510000;b;510306;Библиотечно-информационная деятельность
510000;m;510306;Библиотечно-информационная деятельность
510000;s;510501;Звукорежиссура культурно-массовых представлений и концертных программ
510000;ap;510601;Культурология
520000;b;520301;Хореографическое искусство
520000;m;520301;Хореографическое искусство
520000;b;520302;Хореографическое исполнительство
520000;m;520302;Хореографическое исполнительство
520000;b;520303;Цирковое искусство
520000;m;520303;Цирковое искусство
520000;b;520304;Технология художественного оформления спектакля
520000;m;520304;Технология художественного оформления спектакля
520000;b;520305;Театроведение
520000;m;520305;Театроведение
520000;b;520306;Драматургия
520000;m;520306;Драматургия
520000;s;520501;Актерское искусство
520000;s;520502;Режиссура театра
520000;s;520503;Сценография
520000;as;520901;Искусство хореографии (по видам)
520000;as;520902;Актерское мастерство (по видам)
520000;as;520903;Сценическая речь
520000;as;520904;Сценическая пластика и танец
520000;as;520905;Искусство театральной режиссуры (по видам)
520000;as;520906;Сценография и театральная технология
520000;as;520907;Драматургия
520000;as;520908;Искусство словесности (по видам)
530000;b;530301;Музыкальное искусство эстрады
530000;m;530301;Музыкальное искусство эстрады
530000;b;530302;Музыкально-инструментальное искусство
530000;m;530302;Музыкально-инструментальное искусство
530000;b;530303;Вокальное искусство
530000;m;530303;Вокальное искусство
530000;b;530304;Искусство народного пения
530000;m;530304;Искусство народного пения
530000;b;530305;Дирижирование
530000;m;530305;Дирижирование
530000;b;530306;Музыкознание и музыкально-прикладное искусство
530000;m;530306;Музыкознание и музыкально-прикладное искусство
530000;s;530501;Искусство концертного исполнительства
530000;s;530502;Художественное руководство симфоническим оркестром и академическим хором
530000;s;530503;Музыкальная звукорежиссура
530000;s;530504;Музыкально-театральное искусство
530000;s;530505;Музыковедение
530000;s;530506;Композиция
530000;s;530507;Дирижирование военным духовым оркестром
530000;as;530901;Искусство музыкально-инструментального исполнительства (по видам)
530000;as;530902;Искусство вокального исполнительства (по видам)
530000;as;530903;Искусство композиции
530000;as;530904;Мастерство музыкальной звукорежиссуры
530000;as;530905;Искусство дирижирования (по видам)
540000;b;540301;Дизайн
540000;m;540301;Дизайн
540000;b;540302;Декоративно-прикладное искусство и народные промыслы
540000;m;540302;Декоративно-прикладное искусство и народные промыслы
540000;b;540303;Искусство костюма и текстиля
540000;m;540303;Искусство костюма и текстиля
540000;b;540304;Реставрация
540000;m;540304;Реставрация
540000;s;540501;Монументально-декоративное искусство
540000;s;540502;Живопись
540000;s;540503;Графика
540000;s;540504;Скульптура
540000;s;540505;Живопись и изящные искусства
540000;as;540901;Монументально-декоративное мастерство
540000;as;540902;Мастерство декоративно-прикладного искусства и народных промыслов (по видам)
540000;as;540903;Искусство дизайна (по видам)
540000;as;540904;Искусство живописи (по видам)
540000;as;540905;Искусство графики (по видам)
540000;as;540906;Искусство скульптуры
540000;as;540907;Искусство реставрации (по видам)
550000;s;550501;Режиссура кино и телевидения
550000;s;550502;Звукорежиссура аудиовизуальных искусств
550000;s;550503;Кинооператорство
550000;s;550504;Продюсерство
550000;s;550505;Киноведение
550000;as;550901;Режиссура аудиовизуальных искусств (по видам)
550000;as;550902;Операторское искусство (по видам)
550000;as;550903;Звукорежиссура аудиовизуальных искусств
580000;b;580301;Востоковедение и африканистика
580000;m;580301;Востоковедение и африканистика
